scene,sigma,seed,max_input_change,max_anchor_change,changed_order_frames,max_budget_violation
translation,0.01,0,0.023250307746387477,0.023250564008041152,0,-0.9999935969118496
translation,0.01,1,0.027111624789661448,0.027113331188775902,0,-0.9999925321252476
translation,0.01,2,0.02441467382639856,0.023748778926176328,0,-0.9999935264572102
translation,0.01,3,0.033229995166448825,0.028284668032760862,0,-0.9999936027374474
translation,0.01,4,0.022527291247240275,0.02058074849763969,0,-0.9999939646791702
translation,0.1,0,0.23250307746388188,0.23252879522710757,0,-0.9994734984826863
translation,0.1,1,0.2711162478965967,0.27128507325466344,0,-0.9995137426552141
translation,0.1,2,0.24414673826398559,0.23747865397397305,0,-0.9995157919850683
translation,0.1,3,0.3322999516644883,0.2831175789439726,0,-0.9994617763928915
translation,0.1,4,0.22527291247240278,0.20577131090340117,0,-0.9997138214694488
translation,1.0,0,2.325030774638833,2.327711296679418,0,-0.9450896764855514
translation,1.0,1,2.711162478965967,2.7264244047525743,0,-0.9449580775881898
translation,1.0,2,2.4414673826398556,2.3728868698493173,0,-0.955548050988952
translation,1.0,3,3.3229995166448827,2.855343508043422,0,-0.9496094578561269
translation,1.0,4,2.2527291247240275,2.063009546881574,0,-0.9720128747134495
topology_change,0.01,0,0.023250307746387477,0.018751934641407786,0,-0.954403681873778
topology_change,0.01,1,0.027111624789661448,0.027963395414346337,0,-0.954394745455609
topology_change,0.01,2,0.02441467382639928,0.023951719622491652,0,-0.9541970857898505
topology_change,0.01,3,0.0332299951664492,0.021068477557260934,0,-0.9540236441196583
topology_change,0.01,4,0.024262205012208327,0.01953596925527279,0,-0.9531566912349021
topology_change,0.1,0,0.23250307746388188,0.18744804801689696,0,-0.9561552736534722
topology_change,0.1,1,0.2711162478965967,0.27965287350626866,0,-0.9484580640718434
topology_change,0.1,2,0.2441467382639857,0.23949933942884627,0,-0.9540921675718934
topology_change,0.1,3,0.33229995166448845,0.2107396535842554,0,-0.9489636635684846
topology_change,0.1,4,0.2426220501220815,0.19547307863929575,0,-0.9436806300974183
topology_change,1.0,0,2.325030774638833,1.8669730998072787,0,-0.9024840855362939
topology_change,1.0,1,2.711162478965967,2.7982689771308173,0,-0.8795166294184042
topology_change,1.0,2,2.441467382639855,2.3932196887277755,0,-0.9018246608198979
topology_change,1.0,3,3.3229995166448827,2.1125973578016115,0,-0.8665602528432643
topology_change,1.0,4,2.426220501220822,1.9653174585415059,0,-0.8490271560554916
crowding,0.01,0,0.023250307746387477,0.017854708609462477,0,7.105427357601002e-15
crowding,0.01,1,0.027111624789661448,0.014429672855108322,0,7.105427357601002e-15
crowding,0.01,2,0.02441467382639928,0.00737142272927116,0,7.105427357601002e-15
crowding,0.01,3,0.0332299951664492,0.018939035333261245,0,7.105427357601002e-15
crowding,0.01,4,0.022527291247243397,0.011324305177865313,0,7.105427357601002e-15
crowding,0.1,0,0.23250307746388188,0.17854708609459635,0,7.105427357601002e-15
crowding,0.1,1,0.27111624789660027,0.144296728551069,0,0.0
crowding,0.1,2,0.2441467382639857,0.07371422729265475,0,7.105427357601002e-15
crowding,0.1,3,0.33229995166448845,0.18939035333259824,0,0.0
crowding,0.1,4,0.22527291247240555,0.11324305177865313,0,7.105427357601002e-15
crowding,1.0,0,2.325030774638833,1.7854708609459493,0,7.105427357601002e-15
crowding,1.0,1,2.711162478965967,1.4429672855105693,0,7.105427357601002e-15
crowding,1.0,2,2.441467382639857,0.7371422729265475,0,0.0
crowding,1.0,3,3.3229995166448827,1.893903533325954,0,0.0
crowding,1.0,4,2.252729124724027,1.1324305177865241,0,0.0
