scene,sigma,seed,max_input_change,max_anchor_change,changed_order_frames,max_budget_violation
translation,0.01,0,0.023250307746387477,0.023250896987683234,0,-0.9999167392219448
translation,0.01,1,0.027111624789661448,0.027114493925605387,0,-0.9999150602196565
translation,0.01,2,0.02441467382639856,0.02374877433850031,0,-0.9999215354584123
translation,0.01,3,0.033229995166448825,0.028286740194985782,0,-0.9999137462105594
translation,0.01,4,0.022527291247240275,0.020580469323611794,0,-0.9999164676196699
translation,0.1,0,0.23250307746388188,0.23256232920494213,0,-0.9991386890950267
translation,0.1,1,0.2711162478965967,0.2714001262142922,0,-0.9991964675062626
translation,0.1,2,0.24414673826398559,0.23747713581372665,0,-0.999106795957168
translation,0.1,3,0.3322999516644883,0.2833226680638816,0,-0.9991085305173151
translation,0.1,4,0.22527291247240278,0.2057627046757915,0,-0.9995413151123884
translation,1.0,0,2.325030774638833,2.3313268041312547,0,-0.9081868541153568
translation,1.0,1,2.711162478965967,2.7368390188362994,0,-0.9071338368719388
translation,1.0,2,2.4414673826398556,2.371732916032549,0,-0.9222062807096236
translation,1.0,3,3.3229995166448827,2.873857632447777,0,-0.9134812462651105
translation,1.0,4,2.2527291247240275,2.0675102745580745,0,-0.9532520258599888
topology_change,0.01,0,0.023250307746387477,0.01938825062430638,0,-0.917242196226951
topology_change,0.01,1,0.027111624789661448,0.028608160869897148,0,-0.9171922460037152
topology_change,0.01,2,0.02441467382639928,0.02418991481144772,0,-0.9168470720412216
topology_change,0.01,3,0.0332299951664492,0.021830949705687885,0,-0.9164783480114096
topology_change,0.01,4,0.024262205012208327,0.02135336506015051,0,-0.9150357065740877
topology_change,0.1,0,0.23250307746388188,0.19375279313348415,0,-0.920728329668151
topology_change,0.1,1,0.2711162478965967,0.28611353626545366,0,-0.906899681825962
topology_change,0.1,2,0.2441467382639857,0.2418552945769683,0,-0.9167752489217378
topology_change,0.1,3,0.33229995166448845,0.2184335068848391,0,-0.9074025102578673
topology_change,0.1,4,0.2426220501220815,0.21323422141581716,0,-0.8986490404424075
topology_change,1.0,0,2.325030774638833,1.923723879154565,0,-0.824181129041051
topology_change,1.0,1,2.711162478965967,2.8641978300404496,0,-0.7858551662225395
topology_change,1.0,2,2.441467382639855,2.414209611134968,0,-0.8319602671445523
topology_change,1.0,3,3.3229995166448827,2.1962713568990573,0,-0.7694738745337162
topology_change,1.0,4,2.426220501220822,2.0996817043653238,0,-0.7351216823707674
crowding,0.01,0,0.023250307746387477,0.017854708609462477,0,7.105427357601002e-15
crowding,0.01,1,0.027111624789661448,0.014429672855108322,0,7.105427357601002e-15
crowding,0.01,2,0.02441467382639928,0.00737142272927116,0,7.105427357601002e-15
crowding,0.01,3,0.0332299951664492,0.018939035333261245,0,7.105427357601002e-15
crowding,0.01,4,0.022527291247243397,0.011324305177865313,0,7.105427357601002e-15
crowding,0.1,0,0.23250307746388188,0.17854708609459635,0,7.105427357601002e-15
crowding,0.1,1,0.27111624789660027,0.144296728551069,0,0.0
crowding,0.1,2,0.2441467382639857,0.07371422729265475,0,7.105427357601002e-15
crowding,0.1,3,0.33229995166448845,0.18939035333259824,0,0.0
crowding,0.1,4,0.22527291247240555,0.11324305177865313,0,7.105427357601002e-15
crowding,1.0,0,2.325030774638833,1.7854708609459493,0,7.105427357601002e-15
crowding,1.0,1,2.711162478965967,1.4429672855105693,0,7.105427357601002e-15
crowding,1.0,2,2.441467382639857,0.7371422729265475,0,0.0
crowding,1.0,3,3.3229995166448827,1.893903533325954,0,0.0
crowding,1.0,4,2.252729124724027,1.1324305177865241,0,0.0
